Nakocchi	246	8777	98.61	58418 	311	1,942	1,295
Anzu_Takakura	247	8774	98.78	87629 	19	404	571
[_Wakson_]	248	8773	99.47	79847 	134	522	637
Girl	249	8766	92.99	70111 	71	956	946
Sarasa	250	8763	98.49	46743 	34	587	485
Sheba	251	8762	99.16	110022 	1,434	1,895	-8
ASMaRthXD	252	8757	98.42	100000 	353	1,903	1,421
TheKid217	253	8752	99.53	92105 	725	1,384	1,035
Tetla	254	8745	98.47	121767 	595	1,409	287
Serena	255	8741	99.37	74577 	661	982	450
theez35	256	8736	99.34	37862 	8	263	217
Haynoru	257	8732	99.42	121595 	80	3,053	1,655
Jameslike	258	8726	98.77	50554 	71	1,204	575
Danidesu	259	8724	98.04	56882 	29	463	743
Snorlaax	260	8720	98.31	58735 	19	424	596
eoehd1ek	261	8717	98.02	70501 	281	1,886	474
Maffe	262	8716	98.88	58600 	92	1,036	1,089
-raizen-	263	8716	99.01	110743 	22	914	857
Shiawase	264	8715	99.14	108562 	248	3,524	1,338
Shiina_Noriko	265	8712	98.81	33140 	93	1,253	560
BeasttrollMC	266	8710	98.96	62655 	34	788	472
Fangzy	267	8709	98.97	81962 	326	2,205	961
yuilemo	268	8708	98.98	39101 	65	955	580
Sanjilift	269	8701	98.89	112211 	13	594	556
Aden	270	8699	97.84	88636 	25	938	1,046
kyle	271	8699	98.74	101334 	9	916	1,050
Pray	272	8698	95.30	103420 	21	2,330	692
Koni_Kinmo	273	8697	98.77	45759 	57	1,051	1,234
qaw02468	274	8687	98.88	21227 	158	629	639
Calcium	275	8686	97.78	131168 	34	1,056	2,511
Komaa	276	8681	98.22	115249 	252	990	296
[_Jewel_Yuki_]	277	8674	97.78	76053 	35	823	840
Klocuch12	278	8669	98.58	53396 	24	462	651
SoMad	279	8668	98.82	89716 	39	1,499	1,449
gbs_tap	280	8667	99.35	75236 	250	1,761	600
MCNortrom	281	8661	98.78	59770 	47	1,236	838
SpringLane	282	8658	98.35	70910 	67	2,423	737
Myko	283	8647	98.87	44543 	15	447	607
Woffel	284	8646	99.48	75774 	86	524	1,313
Vall	285	8643	97.17	108405 	6	591	684
My_Angel_Haruna	286	8642	96.93	94852 	28	1,328	466
Akiko-	287	8641	97.82	109734 	162	2,051	422
Sooki	288	8636	98.42	115491 	22	967	1,135
Yuza	289	8632	99.05	68328 	44	960	526
[C_u_r_i]	290	8622	98.56	61097 	123	1,028	645
Malolat	291	8621	99.09	69149 	61	545	523
xElectroGH	292	8620	98.87	59883 	111	792	677
Spark-desu	293	8617	98.24	76375 	13	751	662
Sinch	294	8608	98.83	95802 	557	3,825	634
Yuiteru	295	8607	98.50	87936 	48	780	395
W3CAT_der_Gott	296	8605	98.97	45499 	133	1,643	1,055
rrtyui	297	8597	98.75	171844 	311	1,229	659
Arcadeas	298	8597	99.15	87281 	37	698	869
[-Lockon-]	299	8590	98.01	87351 	4	705	904
Topoi	300	8587	98.13	53968 	17	631	767
ruexia	301	8586	97.84	95407 	6	453	551
mrspazzaneve17	302	8584	99.10	55907 	270	1,361	748
fabriciorby	303	8583	98.95	86852 	702	1,349	67
Far_Q	304	8579	98.81	139725 	54	1,716	922
OhAHO	305	8577	98.67	159607 	199	1,582	1,285
Cien	306	8577	98.61	108726 	270	2,688	440
Miko	307	8570	98.48	83173 	7	384	806
UDQN	308	8567	98.90	58518 	259	1,684	841
gissirianko	309	8556	98.23	54043 	116	868	293
Super_Arrow	310	8549	97.88	88186 	55	1,691	1,050
Zmatureeno	311	8539	98.80	77692 	28	563	467
Mizarr	312	8539	97.09	62345 	59	749	522
Niii-san	313	8538	99.23	70560 	58	655	661
[KOR]ArtRaid	314	8533	97.26	66334 	201	1,611	957
LanJay	315	8532	98.63	99381 	87	802	912
CrtReXn	316	8531	98.78	91514 	129	1,722	1,573
moca	317	8531	99.13	31796 	242	1,309	414
_AvA	318	8523	98.53	65421 	139	726	758
Alumetorz	319	8521	99.30	89249 	89	1,128	500
-Wolfy-	320	8518	98.09	62393 	146	1,237	765
GHAngeloid	321	8514	99.22	133767 	176	2,642	534
ithgyu	322	8512	99.11	54093 	33	903	1,135
nycto	323	8509	98.11	132841 	34	903	944
Boggles	324	8504	98.10	61822 	108	1,237	785
PizzaLovers007	325	8503	98.97	26692 	34	879	734
Small_K	326	8501	98.66	110666 	267	3,709	662
CPUGeek	327	8501	99.46	105364 	263	1,435	473
its_over	328	8501	98.68	51214 	71	407	676
FriendoFox	329	8498	99.20	93288 	135	865	839
FeriOP	330	8489	98.78	92754 	95	1,202	1,533
Constelletion	331	8487	98.96	156645 	83	1,367	969
My_Angel_Yaz	332	8484	98.92	70973 	46	782	947
-PloX	333	8483	98.85	73513 	131	507	657
B_e_N_i	334	8475	99.20	159408 	523	2,398	828
My_Angel_Lina	335	8470	98.33	53175 	11	540	522
Cinia_Pacifica	336	8468	98.34	55089 	63	1,417	436
Akani	337	8467	98.93	90301 	143	1,260	629
kawaine	338	8466	98.19	61066 	7	250	406
Saizu	339	8461	99.24	85798 	33	998	1,100
-_Daichi_-	340	8458	99.22	74348 	139	817	1,350
[ZN]	341	8456	98.60	143665 	59	1,253	1,150
Yuria	342	8451	99.15	122511 	2,340	1,679	1,173
VINXIS	343	8449	98.70	73302 	38	972	1,072
worst_dt_player	344	8449	98.44	92746 	155	825	917
-GN	345	8448	97.59	114533 	147	1,228	664
Lunirs	346	8448	98.04	50964 	12	629	770
Mirtrax	347	8447	98.45	72865 	16	625	551
GGBY	348	8446	98.52	186018 	1,507	12,526	231
OsunMoM-	349	8443	98.89	63576 	125	1,173	492
My_Angel_Runa	350	8440	99.02	105654 	188	2,460	624
Toshinou_Kyouko	351	8440	99.00	67922 	138	2,423	709
YoonA-	352	8432	99.04	81558 	138	1,125	608
Vinsu	353	8427	98.51	60770 	73	858	629
Pein	354	8427	99.01	98444 	188	1,965	883
Tosino_Kyoko	355	8424	98.81	53510 	177	1,403	585
Agni	356	8424	99.29	61702 	141	948	1,328
Flami	357	8421	99.03	58456 	159	902	1,395
Informous	358	8418	98.51	50324 	49	665	983
-Zelos-	359	8413	98.81	81251 	197	1,667	1,000
Cocaine_dog	360	8407	98.64	94143 	38	629	576
Reiyoru-	361	8395	97.98	94049 	1,442	2,531	931
Doma_Umaru	362	8394	97.95	125481 	89	2,441	1,089
esemoka57	363	8391	98.60	90854 	33	614	473
Van_Darkholme	364	8390	98.73	76129 	72	1,212	854
Elscar	365	8390	99.37	101127 	435	1,191	243
Jesus[Krists]	366	8389	98.83	72167 	38	826	658
unberlin	367	8387	98.86	128642 	70	1,246	1,429
DigiDrake	368	8385	98.93	66017 	115	752	255
SylvieLism	369	8385	99.26	53973 	426	618	874
Mongoose-	370	8383	98.08	76123 	39	909	1,302
Commy	371	8382	98.93	92628 	362	1,325	233
Koltay	372	8382	99.24	49751 	200	1,925	1,132
xaxreid	373	8381	99.27	65118 	15	230	627
Shii	374	8378	97.11	90326 	29	1,240	862
Rampax	375	8374	97.85	124779 	18	827	1,373
cptnXn	376	8373	99.19	98595 	97	1,138	565
My_Not	377	8372	98.50	113190 	135	2,425	1,484
Cerkie	378	8368	99.13	122235 	320	1,263	1,054
Bauxe	379	8365	98.52	79949 	148	2,455	864
SkyzWai-	380	8359	98.84	127241 	49	1,831	978
thelewa	381	8356	99.38	169068 	933	3,943	1,007
c00kiezecky	382	8356	99.10	77140 	72	580	1,000
Mooha	383	8354	99.48	55674 	433	1,547	80
Shinkei93	384	8353	97.40	47724 	0	338	203
Nakano-	385	8352	98.59	165769 	646	2,940	156
smh	386	8351	98.65	19453 	44	313	301
Kuronora	387	8346	98.70	115657 	108	1,552	803
AAA	388	8345	98.90	107127 	239	2,040	90
WombRaider___9	389	8344	97.93	30017 	7	337	486
TheLamaHD	390	8343	99.46	32682 	94	621	910
-_Ruff_-	391	8338	98.36	97693 	68	729	892
LilDoc	392	8336	98.20	95028 	61	1,346	1,086
SlimeDrippy	393	8335	98.90	53887 	16	677	241
Blobby3000	394	8330	98.87	45279 	31	507	814
moguosu	395	8329	96.68	32771 	30	673	605
-SoMoE-	396	8327	98.46	93930 	38	804	296
Zodiaack	397	8327	99.07	83814 	130	2,447	1,787
ClawViper	398	8326	99.08	54446 	242	2,501	146
Grey-	399	8322	98.70	12777 	3	171	290
Kirin	400	8320	98.79	94526 	82	1,053	761
[_xFrozZ_]	401	8320	98.19	51562 	27	472	692
oohily	402	8316	98.70	83094 	114	3,023	1,136
sinon	403	8312	97.34	88466 	103	618	770
im_bad	404	8304	99.04	90357 	27	517	613
Ignite	405	8302	98.98	116640 	171	1,240	952
Rekia	406	8298	98.00	55957 	21	599	496
Shirone	407	8298	98.76	81692 	105	1,116	525
Skydiver	408	8298	98.10	54702 	24	376	457
D4rkHeroBR	409	8295	98.50	55229 	39	497	707
kaminogi	410	8291	98.17	48650 	56	942	676
_---_	411	8287	99.55	100850 	128	834	864
shortpotato	412	8285	98.96	40768 	166	1,361	840
Sablestars	413	8285	99.40	65723 	53	815	388
Zabijaka	414	8284	98.68	114378 	98	1,097	893
Natalia	415	8279	99.03	36919 	128	1,203	1,029
3D_Printer	416	8277	98.81	61808 	283	2,324	1,249
Sedna	417	8275	99.24	65846 	727	562	696
Idealism	418	8275	98.47	67669 	84	1,318	900
Razuh	419	8273	97.94	53455 	55	594	1,135
Titus	420	8271	98.95	52080 	159	1,277	667
CatBagasm	421	8268	96.74	44147 	43	823	411
DT-sama	422	8257	98.75	179191 	65	1,730	1,859
fripSide	423	8250	97.93	78309 	360	992	884
FllareA	424	8245	98.68	99478 	23	1,221	1,149
No01	425	8240	98.32	141299 	169	1,802	1,024
WORSTPOLACKEU	426	8227	98.27	67262 	27	699	679
Slizzer	427	8227	98.92	78768 	117	1,983	1,269
buny	428	8226	98.66	96375 	10	742	519
Neel-	429	8223	98.99	76666 	188	1,259	207
follon	430	8220	98.94	78581 	260	855	681
renoxz	431	8220	99.40	84063 	93	742	1,128
sAraShina	432	8211	98.92	148396 	612	3,825	795
schlafen	433	8210	99.09	133084 	338	1,692	1,025
Yacos	434	8208	97.61	94352 	18	804	1,909
emabb	435	8207	98.92	69856 	58	916	729
Garden	436	8202	98.76	42372 	732	3,554	110
xsrsbsns	437	8197	99.11	78398 	1,791	3,082	301
_kyky_	438	8191	98.37	68103 	26	597	725
TobiGH3	439	8191	98.63	45376 	32	758	545
Maika	440	8190	99.03	70284 	387	711	166
Vandabe	441	8189	98.69	91633 	61	1,145	800
doki_doki	442	8181	98.68	158637 	30	1,096	751
Cnya	443	8181	98.78	104406 	64	3,058	813
-_Tea_-	444	8180	96.86	98714 	15	421	689
Cloz1k	445	8180	99.07	113717 	14	315	827
Rusio	446	8180	98.00	59993 	76	1,586	690
eLy	447	8180	98.79	180459 	229	3,878	1,638
BOZENA100003BPM	448	8180	98.68	42779 	46	551	363
Crystal-	449	8179	98.13	61164 	240	2,157	919
aegishield3	450	8177	99.27	76351 	36	583	282
Duftende_Pizza	451	8171	99.55	60319 	281	1,207	624
Mercurius	452	8168	99.33	199482 	1,557	4,815	472
Falone	453	8167	98.70	83326 	44	793	970
kutafix	454	8166	98.81	65779 	18	262	484
