[ Chaos ],96.83,56330,5733,44,764,822
clp012345,97.92,63778,5720,80,1471,840
EnterYourName,97.95,72366,5700,87,2540,1388
Prophet,97.54,119450,5696,37,2187,1298
-GN,97.61,55664,5695,91,695,419
firephm,97.35,36061,5679,44,558,110
Playing,93.72,60103,5670,78,2544,1593
Jonimay,98.05,69318,5670,71,1060,765
[Y U I],98.68,42322,5663,64,1388,376
Ring Suzune,98.96,63391,5657,268,2007,735
Huil,98.42,7091,5647,185,681,12
Tom94,98.5,19116,5641,17,329,402
Defacer,93.28,72902,5623,9,709,625
Netz,98.97,49439,5619,270,1601,436
Reluce,98.92,112300,5617,433,2010,399
Enhukan,98.69,49337,5615,132,907,402
rips,98.98,63920,5600,146,1707,116
Inuchin,99.36,77438,5593,523,1177,369
jackylam5,96.22,49669,5581,88,1190,492
Startrick,99.07,50319,5573,154,482,160
- O No De Ra -,99.04,29396,5568,119,1289,123
Uryuwei,99.08,111111,5567,1279,1422,54
M3tr01d,98.73,106322,5549,182,1834,589
Kyshiro,98.86,55120,5543,124,1372,478
Spritzer,99.52,12528,5541,263,603,126
Nicokarl,99.19,122503,5540,859,2063,94
PattyS,98.27,24250,5535,98,1449,488
-Ryosuke,96.82,73825,5529,64,1444,783
Scarlet Sisters,98.78,72002,5520,2168,1882,284
HopaOoo,98.33,73706,5519,254,2458,799
Mirage,98.22,59444,5515,144,1788,624
val0108,97.51,86153,5510,98,2698,1174
Este_llise,98.51,75460,5507,113,1681,221
KRZY,98.43,66946,5503,336,3280,726
RIP,98.15,100438,5494,106,910,612
IasiS,98.4,91596,5491,103,1819,230
EnEMy,99.31,54910,5481,314,901,880
Flute,98.36,116515,5471,903,4990,413
Setsuco,98.86,66354,5466,230,2829,794
Floks,98.41,83174,5461,251,2619,7
Yacos,97.6,41355,5457,16,461,730
Lunatic,98.37,107268,5597,418,4098,272
Enhukan,98.62,49296,5591,132,906,402
-peachtea-,97.61,37885,5573,61,812,278
Roro Rosset,99.28,69754,5572,2373,2123,274
Al Tang,98.31,62555,5568,36,1363,457
WhitePhoenixLP,98.14,56305,5561,92,759,323
Sun1180,99.03,70121,5544,328,4594,656
bes_joker,93.6,35076,5541,2,1273,581
Poruteri,98.89,77370,5540,195,1785,589
Kris,99.2,47194,5539,160,1677,865
NonxE,98.13,87467,5529,145,2373,858
Lucid Astray,98.5,63212,5521,46,1441,821
Could This Be,99.18,54399,5519,63,613,665
Spicker,98.23,81607,5518,103,1537,562
little Agile,98.94,45313,5514,328,2014,547
My Not,98.11,64809,5508,118,1559,916
Suzutsuki-,98.61,82502,5505,244,1476,481
BA_KA_YA_RO U,98.89,76435,5494,301,1968,330
Lapis,98.75,17399,5491,180,735,188
Uan,98.97,212477,5482,3055,6819,473
harunya,98.44,30042,5476,70,607,322
[Kudryavka],98.43,45881,5471,75,1146,689
jesus1412,94.17,99731,5463,17,653,969
Kikkyow,98.93,62477,5460,179,945,261
Ayalis,99.17,72646,5456,229,1090,433
putigame,99.05,86506,5453,1531,1848,32
koreapenguin,98.82,41076,5448,204,2199,124
teriyaki230,99.25,60196,5442,408,1344,699
White Lolita,97.99,73897,5431,44,3336,170
Kazami Yuka,98.81,13455,5428,78,472,172
galen1922,96.5,82913,5415,10,825,647
Haqua,98.85,33486,5413,94,773,250
Alumetorz,98.65,59253,5409,68,742,326
Dualshock,98.72,32770,5404,46,774,233
Schill Cyrene,98.7,46744,5402,379,1158,474
L u R i,98.82,119413,5397,429,2489,81
Fione,99.58,46356,5395,315,1010,11
Ashtar,99.06,45104,5391,94,1320,136
B e c k y,98.65,45966,5386,286,1363,185
Pacemaker,97.87,100382,5385,61,1105,491
-Heart-,98.43,93632,5383,335,1498,316
- Taito -,98.24,35610,5376,68,554,486
R a h a r u,98.95,96438,5373,521,2627,672
Honey,98.22,51212,5371,110,1083,433
mukachu,98.7,127362,5364,244,1633,963
Rorry,99.13,130998,5353,654,2242,370
xElectroGH,98.81,30819,5350,60,497,373
i am super blue cat,98.09,21464,5346,0,2675,467
Gon,98.31,58349,5344,212,2497,292
SteiNer-,97.5,46545,5343,31,788,957
pyon,98.14,35504,5451,84,775,670
fumis,99.32,59283,5442,556,3915,195
takeki3gou,99.02,90852,5441,367,973,292
OVanillaO,98.87,51181,5428,126,664,185
Geminids,98.83,64353,5423,555,3043,556
beeco,99.37,96494,5414,362,2244,628
ch2035,97.53,39344,5409,74,1409,935
Ibanezi,99.23,2969,5404,50,128,2
kriers,99.41,108829,5402,724,3257,1074
ALust,98.22,61816,5401,157,848,567
yuugeki1234,99.08,46810,5397,255,1358,599
ivalteK,99.5,15333,5392,306,356,55
sAraShina,97.23,77083,5387,518,3155,195
Suzuno Kamduki,98.87,63234,5386,46,849,534
x2x0x0x0x,98.84,42180,5384,297,2197,41
Granje,98.56,134797,5380,289,2817,160
MFZ,98.28,67553,5373,40,691,262
Saix,99.07,49019,5372,46,841,37
Broodich,98.83,78956,5368,135,1028,624
tit,98.02,141748,5357,87,3957,1376
Apricot,99.34,77278,5353,1482,2719,58
Raiku,97.71,68511,5349,197,1326,217
